frontend_id,title,title_slug,created_at_approx,difficulty,has_python,python_path,has_cpp,cpp_path,match_strategy
679,24 Game,24-game,2017-09-17,Hard,1,Python/24-game.py,1,C++/24-game.cpp,name:slug/title
2117,Abbreviating the Product of a Range,abbreviating-the-product-of-a-range,2021-12-25,Hard,1,Python/abbreviating-the-product-of-a-range.py,1,C++/abbreviating-the-product-of-a-range.cpp,name:slug/title
2508,Add Edges to Make Degrees of All Nodes Even,add-edges-to-make-degrees-of-all-nodes-even,2022-12-18,Hard,1,Python/add-edges-to-make-degrees-of-all-nodes-even.py,1,C++/add-edges-to-make-degrees-of-all-nodes-even.cpp,name:slug/title
269,Alien Dictionary,alien-dictionary,2015-08-25,Hard,1,Python/alien-dictionary.py,1,C++/alien-dictionary.cpp,name:slug/title
432,All O`one Data Structure,all-oone-data-structure,2016-10-17,Hard,1,Python/all-oone-data-structure.py,1,C++/all-oone-data-structure.cpp,name:slug/title
1478,Allocate Mailboxes,allocate-mailboxes,2020-06-13,Hard,1,Python/allocate-mailboxes.py,1,C++/allocate-mailboxes.cpp,name:slug/title
3245,Alternating Groups III,alternating-groups-iii,2024-08-04,Hard,1,Python/alternating-groups-iii.py,1,C++/alternating-groups-iii.cpp,name:slug/title
2158,Amount of New Area Painted Each Day,amount-of-new-area-painted-each-day,2022-02-02,Hard,1,Python/amount-of-new-area-painted-each-day.py,1,C++/amount-of-new-area-painted-each-day.cpp,name:slug/title
2897,Apply Operations on Array to Maximize Sum of Squares,apply-operations-on-array-to-maximize-sum-of-squares,2023-10-08,Hard,1,Python/apply-operations-on-array-to-maximize-sum-of-squares.py,1,C++/apply-operations-on-array-to-maximize-sum-of-squares.cpp,name:slug/title
2968,Apply Operations to Maximize Frequency Score,apply-operations-to-maximize-frequency-score,2023-12-17,Hard,1,Python/apply-operations-to-maximize-frequency-score.py,1,C++/apply-operations-to-maximize-frequency-score.cpp,name:slug/title
2818,Apply Operations to Maximize Score,apply-operations-to-maximize-score,2023-08-13,Hard,1,Python/apply-operations-to-maximize-score.py,1,C++/apply-operations-to-maximize-score.cpp,name:slug/title
446,Arithmetic Slices II - Subsequence,arithmetic-slices-ii-subsequence,2016-11-06,Hard,1,Python/arithmetic-slices-ii-subsequence.py,1,C++/arithmetic-slices-ii-subsequence.cpp,name:slug/title
