problem,language,path,avg_duration_sec,avg_pkg_joules,avg_dram_joules,error
123__best-time-to-buy-and-sell-stock-iii,cpp,new_transpiled_solutions/123__best-time-to-buy-and-sell-stock-iii/cpp/best-time-to-buy-and-sell-stock-iii_benchmark.cpp,0.011509990692138672,0.1493405,0.0142518,
123__best-time-to-buy-and-sell-stock-iii,python2,new_transpiled_solutions/123__best-time-to-buy-and-sell-stock-iii/cpp/best-time-to-buy-and-sell-stock-iii_with_tests.py,1.5747070789337159,25.606355399999998,0.5719772,
124__binary-tree-maximum-path-sum,cpp,new_transpiled_solutions/124__binary-tree-maximum-path-sum/cpp/binary-tree-maximum-path-sum_benchmark.cpp,0.009824776649475097,0.1692744,0.0127195,
124__binary-tree-maximum-path-sum,python2,new_transpiled_solutions/124__binary-tree-maximum-path-sum/cpp/binary-tree-maximum-path-sum_with_tests.py,0.08715851306915283,1.4779199,0.0602844,
126__word-ladder-ii,cpp,new_transpiled_solutions/126__word-ladder-ii/cpp/word-ladder-ii_benchmark.cpp,0.06629581451416015,1.0761812,0.0539122,
126__word-ladder-ii,python2,new_transpiled_solutions/126__word-ladder-ii/cpp/word-ladder-ii_with_tests.py,0.46449739933013917,7.3180111,0.18515589999999998,
127__word-ladder,cpp,new_transpiled_solutions/127__word-ladder/cpp/word-ladder_benchmark.cpp,0.05316157341003418,0.8450909,0.0461058,
127__word-ladder,python2,new_transpiled_solutions/127__word-ladder/cpp/word-ladder_with_tests.py,0.29922559261322024,4.7759399,0.1335203,
135__candy,cpp,new_transpiled_solutions/135__candy/cpp/candy_benchmark.cpp,0.011792230606079101,0.1854975,0.0147583,
135__candy,python2,new_transpiled_solutions/135__candy/cpp/candy_with_tests.py,0.4787699460983276,7.6163014,0.18760949999999998,
140__word-break-ii,cpp,new_transpiled_solutions/140__word-break-ii/cpp/word-break-ii_benchmark.cpp,0.09276995658874512,1.4679465999999999,0.0570923,
140__word-break-ii,python2,new_transpiled_solutions/140__word-break-ii/cpp/word-break-ii_with_tests.py,0.6780364751815796,10.6465669,0.2496698,
149__max-points-on-a-line,cpp,new_transpiled_solutions/149__max-points-on-a-line/cpp/max-points-on-a-line_benchmark.cpp,0.007785129547119141,0.1210996,0.0105956,
149__max-points-on-a-line,python2,new_transpiled_solutions/149__max-points-on-a-line/cpp/max-points-on-a-line_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/149__max-points-on-a-line/cpp/max-points-on-a-line_with_tests.py']' returned non-zero exit status 1."
154__find-minimum-in-rotated-sorted-array-ii,cpp,new_transpiled_solutions/154__find-minimum-in-rotated-sorted-array-ii/cpp/find-minimum-in-rotated-sorted-array-ii_benchmark.cpp,0.0023935317993164064,0.0443053,0.0037048000000000003,
154__find-minimum-in-rotated-sorted-array-ii,python2,new_transpiled_solutions/154__find-minimum-in-rotated-sorted-array-ii/cpp/find-minimum-in-rotated-sorted-array-ii_with_tests.py,0.01764998435974121,0.2885614,0.0216307,
174__dungeon-game,cpp,new_transpiled_solutions/174__dungeon-game/cpp/dungeon-game_benchmark.cpp,0.0039653778076171875,0.0849303,0.0065306,
174__dungeon-game,python2,new_transpiled_solutions/174__dungeon-game/cpp/dungeon-game_with_tests.py,0.07031185626983642,1.2219206,0.055077799999999996,
188__best-time-to-buy-and-sell-stock-iv,cpp,new_transpiled_solutions/188__best-time-to-buy-and-sell-stock-iv/cpp/best-time-to-buy-and-sell-stock-iv_benchmark.cpp,0.07720084190368652,1.148465,0.0531492,
188__best-time-to-buy-and-sell-stock-iv,python2,new_transpiled_solutions/188__best-time-to-buy-and-sell-stock-iv/cpp/best-time-to-buy-and-sell-stock-iv_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/188__best-time-to-buy-and-sell-stock-iv/cpp/best-time-to-buy-and-sell-stock-iv_with_tests.py']' returned non-zero exit status 1."
212__word-search-ii,cpp,new_transpiled_solutions/212__word-search-ii/cpp/word-search-ii_benchmark.cpp,0.056230688095092775,0.8939063,0.041644,
