problem,language,path,avg_duration_sec,avg_pkg_joules,avg_dram_joules,error
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/check-if-dfs-strings-are-palindromes/check-if-dfs-strings-are-palindromes_benchmark.cpp,0.009274125099182129,0.1475276,0.013500999999999999,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/check-if-dfs-strings-are-palindromes/check-if-dfs-strings-are-palindromes_benchmark.py,0.12807102203369142,2.1425178,0.0774106,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/check-if-digits-are-equal-in-string-after-operations-ii/check-if-digits-are-equal-in-string-after-operations-ii_benchmark.cpp,0.0031509876251220705,0.050287,0.0045103,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/check-if-digits-are-equal-in-string-after-operations-ii/check-if-digits-are-equal-in-string-after-operations-ii_benchmark.py,0.12767159938812256,2.0931891,0.0723386,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/equal-sum-grid-partition-ii/equal-sum-grid-partition-ii_benchmark.cpp,0.009087896347045899,0.1287289,0.0115538,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/equal-sum-grid-partition-ii/equal-sum-grid-partition-ii_benchmark.py,0.06711537837982177,1.0873079,0.0510315,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/find-the-original-typed-string-ii/find-the-original-typed-string-ii_benchmark.cpp,0.0038800477981567384,0.0736936,0.0053221,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/find-the-original-typed-string-ii/find-the-original-typed-string-ii_benchmark.py,0.05546627044677734,0.9130348,0.0453674,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/find-weighted-median-node-in-tree/find-weighted-median-node-in-tree_benchmark.cpp,0.005159211158752441,0.0798278,0.006653,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/find-weighted-median-node-in-tree/find-weighted-median-node-in-tree_benchmark.py,0.3713466882705688,5.7421607,0.1543759,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/find-x-sum-of-all-k-long-subarrays-ii/find-x-sum-of-all-k-long-subarrays-ii_benchmark.cpp,0.014114642143249511,0.24085030000000002,0.0164549,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/find-x-sum-of-all-k-long-subarrays-ii/find-x-sum-of-all-k-long-subarrays-ii_benchmark.py,,,,"Command '['python2', 'py2_energy_test_final_feasible/find-x-sum-of-all-k-long-subarrays-ii/find-x-sum-of-all-k-long-subarrays-ii_benchmark.py']' returned non-zero exit status 1."
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/find-x-value-of-array-ii/find-x-value-of-array-ii_benchmark.cpp,0.00696718692779541,0.1148069,0.0093996,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/find-x-value-of-array-ii/find-x-value-of-array-ii_benchmark.py,0.14705853462219237,2.4571472,0.0892393,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/length-of-longest-v-shaped-diagonal-segment/length-of-longest-v-shaped-diagonal-segment_benchmark.cpp,0.0032391786575317384,0.0535644,0.0045043999999999996,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/length-of-longest-v-shaped-diagonal-segment/length-of-longest-v-shaped-diagonal-segment_benchmark.py,0.07516834735870362,1.2259066,0.0558224,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/lexicographically-smallest-generated-string/lexicographically-smallest-generated-string_benchmark.cpp,0.005488920211791992,0.0817258,0.0077942,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/lexicographically-smallest-generated-string/lexicographically-smallest-generated-string_benchmark.py,0.10628678798675537,1.7819411,0.0661862,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/longest-palindrome-after-substring-concatenation-ii/longest-palindrome-after-substring-concatenation-ii_benchmark.cpp,0.007140064239501953,0.1000669,0.0098143,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/longest-palindrome-after-substring-concatenation-ii/longest-palindrome-after-substring-concatenation-ii_benchmark.py,0.16136019229888915,2.6346918,0.08421000000000001,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/longest-palindromic-path-in-graph/longest-palindromic-path-in-graph_benchmark.cpp,0.027524018287658693,0.42980240000000003,0.0271911,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/longest-palindromic-path-in-graph/longest-palindromic-path-in-graph_benchmark.py,2.1039318323135374,32.9976634,0.7221479,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/longest-special-path/longest-special-path_benchmark.cpp,0.004078102111816406,0.0667844,0.005487,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/longest-special-path/longest-special-path_benchmark.py,0.1210897445678711,1.9465586,0.0706967,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/longest-special-path-ii/longest-special-path-ii_benchmark.cpp,0.06173524856567383,0.8628333,0.0439146,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/longest-special-path-ii/longest-special-path-ii_benchmark.py,0.11621482372283935,1.8970289,0.0666505,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/maximize-active-section-with-trade-ii/maximize-active-section-with-trade-ii_benchmark.cpp,0.005225324630737304,0.0757324,0.0063966000000000005,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/maximize-active-section-with-trade-ii/maximize-active-section-with-trade-ii_benchmark.py,0.1429966926574707,2.334497,0.0752195,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/maximize-spanning-tree-stability-with-upgrades/maximize-spanning-tree-stability-with-upgrades_benchmark.cpp,0.006748819351196289,0.1305781,0.011144900000000001,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/maximize-spanning-tree-stability-with-upgrades/maximize-spanning-tree-stability-with-upgrades_benchmark.py,0.07938525676727295,1.3751307,0.0550231,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/maximize-subarray-gcd-score/maximize-subarray-gcd-score_benchmark.cpp,0.011932706832885743,0.1831412,0.0140807,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/maximize-subarray-gcd-score/maximize-subarray-gcd-score_benchmark.py,0.09484586715698243,1.565609,0.0611752,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/maximize-subarray-sum-after-removing-all-occurrences-of-one-element/maximize-subarray-sum-after-removing-all-occurrences-of-one-element_benchmark.cpp,0.005769562721252441,0.0885188,0.0077269999999999995,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/maximize-subarray-sum-after-removing-all-occurrences-of-one-element/maximize-subarray-sum-after-removing-all-occurrences-of-one-element_benchmark.py,0.4210716962814331,6.5850539,0.1666133,
cpp_energy_test_final_feasible,cpp,cpp_energy_test_final_feasible/maximize-the-distance-between-points-on-a-square/maximize-the-distance-between-points-on-a-square_benchmark.cpp,0.007352113723754883,0.1229002,0.009375,
py2_energy_test_final_feasible,python2,py2_energy_test_final_feasible/maximize-the-distance-between-points-on-a-square/maximize-the-distance-between-points-on-a-square_benchmark.py,0.18752241134643555,3.0345566,0.0877926,
