problem,language,path,avg_duration_sec,avg_pkg_joules,avg_dram_joules,error,trimmed_problem,exists_in_accepted
123__best-time-to-buy-and-sell-stock-iii,cpp,new_transpiled_solutions/123__best-time-to-buy-and-sell-stock-iii/cpp/best-time-to-buy-and-sell-stock-iii_benchmark.cpp,0.0115099906921386,0.1493405,0.0142518,,best-time-to-buy-and-sell-stock-iii,True
123__best-time-to-buy-and-sell-stock-iii,python2,new_transpiled_solutions/123__best-time-to-buy-and-sell-stock-iii/cpp/best-time-to-buy-and-sell-stock-iii_with_tests.py,1.574707078933716,25.6063554,0.5719772,,best-time-to-buy-and-sell-stock-iii,True
124__binary-tree-maximum-path-sum,cpp,new_transpiled_solutions/124__binary-tree-maximum-path-sum/cpp/binary-tree-maximum-path-sum_benchmark.cpp,0.009824776649475,0.1692744,0.0127195,,binary-tree-maximum-path-sum,True
124__binary-tree-maximum-path-sum,python2,new_transpiled_solutions/124__binary-tree-maximum-path-sum/cpp/binary-tree-maximum-path-sum_with_tests.py,0.0871585130691528,1.4779199,0.0602844,,binary-tree-maximum-path-sum,True
127__word-ladder,cpp,new_transpiled_solutions/127__word-ladder/cpp/word-ladder_benchmark.cpp,0.0531615734100341,0.8450909,0.0461058,,word-ladder,True
127__word-ladder,python2,new_transpiled_solutions/127__word-ladder/cpp/word-ladder_with_tests.py,0.2992255926132202,4.7759399,0.1335203,,word-ladder,True
135__candy,cpp,new_transpiled_solutions/135__candy/cpp/candy_benchmark.cpp,0.0117922306060791,0.1854975,0.0147583,,candy,True
135__candy,python2,new_transpiled_solutions/135__candy/cpp/candy_with_tests.py,0.4787699460983276,7.6163014,0.1876094999999999,,candy,True
140__word-break-ii,cpp,new_transpiled_solutions/140__word-break-ii/cpp/word-break-ii_benchmark.cpp,0.0927699565887451,1.4679466,0.0570923,,word-break-ii,True
140__word-break-ii,python2,new_transpiled_solutions/140__word-break-ii/cpp/word-break-ii_with_tests.py,0.6780364751815796,10.6465669,0.2496698,,word-break-ii,True
154__find-minimum-in-rotated-sorted-array-ii,cpp,new_transpiled_solutions/154__find-minimum-in-rotated-sorted-array-ii/cpp/find-minimum-in-rotated-sorted-array-ii_benchmark.cpp,0.0023935317993164,0.0443053,0.0037048,,find-minimum-in-rotated-sorted-array-ii,True
154__find-minimum-in-rotated-sorted-array-ii,python2,new_transpiled_solutions/154__find-minimum-in-rotated-sorted-array-ii/cpp/find-minimum-in-rotated-sorted-array-ii_with_tests.py,0.0176499843597412,0.2885614,0.0216307,,find-minimum-in-rotated-sorted-array-ii,True
174__dungeon-game,cpp,new_transpiled_solutions/174__dungeon-game/cpp/dungeon-game_benchmark.cpp,0.0039653778076171,0.0849303,0.0065306,,dungeon-game,True
174__dungeon-game,python2,new_transpiled_solutions/174__dungeon-game/cpp/dungeon-game_with_tests.py,0.0703118562698364,1.2219206,0.0550777999999999,,dungeon-game,True
188__best-time-to-buy-and-sell-stock-iv,cpp,new_transpiled_solutions/188__best-time-to-buy-and-sell-stock-iv/cpp/best-time-to-buy-and-sell-stock-iv_benchmark.cpp,0.0772008419036865,1.148465,0.0531492,,best-time-to-buy-and-sell-stock-iv,True
188__best-time-to-buy-and-sell-stock-iv,python2,new_transpiled_solutions/188__best-time-to-buy-and-sell-stock-iv/cpp/best-time-to-buy-and-sell-stock-iv_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/188__best-time-to-buy-and-sell-stock-iv/cpp/best-time-to-buy-and-sell-stock-iv_with_tests.py']' returned non-zero exit status 1.",best-time-to-buy-and-sell-stock-iv,True
212__word-search-ii,cpp,new_transpiled_solutions/212__word-search-ii/cpp/word-search-ii_benchmark.cpp,0.0562306880950927,0.8939063,0.041644,,word-search-ii,True
212__word-search-ii,python2,new_transpiled_solutions/212__word-search-ii/cpp/word-search-ii_with_tests.py,0.942550563812256,14.8345021,0.3381096,,word-search-ii,True
214__shortest-palindrome,cpp,new_transpiled_solutions/214__shortest-palindrome/cpp/shortest-palindrome_benchmark.cpp,0.0380133867263794,0.5609788,0.0350157,,shortest-palindrome,True
214__shortest-palindrome,python2,new_transpiled_solutions/214__shortest-palindrome/cpp/shortest-palindrome_with_tests.py,1.6201245069503785,25.2474023,0.5505293,,shortest-palindrome,True
218__the-skyline-problem,cpp,new_transpiled_solutions/218__the-skyline-problem/cpp/the-skyline-problem_benchmark.cpp,0.0093597412109375,0.1635616,0.0124878,,the-skyline-problem,True
218__the-skyline-problem,python2,new_transpiled_solutions/218__the-skyline-problem/cpp/the-skyline-problem_with_tests.py,0.0868924856185913,1.4429529,0.0570373,,the-skyline-problem,True
220__contains-duplicate-iii,cpp,new_transpiled_solutions/220__contains-duplicate-iii/cpp/contains-duplicate-iii_benchmark.cpp,0.1140591859817505,1.7089925,0.0654417,,contains-duplicate-iii,True
220__contains-duplicate-iii,python2,new_transpiled_solutions/220__contains-duplicate-iii/cpp/contains-duplicate-iii_with_tests.py,2.441064190864563,39.6034995,0.8319134,,contains-duplicate-iii,True
233__number-of-digit-one,cpp,new_transpiled_solutions/233__number-of-digit-one/cpp/number-of-digit-one_benchmark.cpp,0.0029394388198852,0.0404968,0.0041262,,number-of-digit-one,True
233__number-of-digit-one,python2,new_transpiled_solutions/233__number-of-digit-one/cpp/number-of-digit-one_with_tests.py,0.0245011091232299,0.4272143,0.0270996,,number-of-digit-one,True
239__sliding-window-maximum,cpp,new_transpiled_solutions/239__sliding-window-maximum/cpp/sliding-window-maximum_benchmark.cpp,0.0600977420806884,0.9626073,0.0459227,,sliding-window-maximum,True
239__sliding-window-maximum,python2,new_transpiled_solutions/239__sliding-window-maximum/cpp/sliding-window-maximum_with_tests.py,2.3978342771530152,37.8340218,0.814909,,sliding-window-maximum,True
23__merge-k-sorted-lists,cpp,new_transpiled_solutions/23__merge-k-sorted-lists/cpp/merge-k-sorted-lists_benchmark.cpp,0.0174324750900268,0.2637809,0.0198302,,merge-k-sorted-lists,True
23__merge-k-sorted-lists,python2,new_transpiled_solutions/23__merge-k-sorted-lists/cpp/merge-k-sorted-lists_with_tests.py,0.4423162460327148,7.1066345,0.175732,,merge-k-sorted-lists,True
282__expression-add-operators,cpp,new_transpiled_solutions/282__expression-add-operators/cpp/expression-add-operators_benchmark.cpp,0.0221498012542724,0.3370595,0.0221802,,expression-add-operators,True
282__expression-add-operators,python2,new_transpiled_solutions/282__expression-add-operators/cpp/expression-add-operators_with_tests.py,0.3379492998123169,5.3972091,0.1395261,,expression-add-operators,True
295__find-median-from-data-stream,cpp,new_transpiled_solutions/295__find-median-from-data-stream/cpp/find-median-from-data-stream_benchmark.cpp,0.0209290981292724,0.3840687,0.026013,,find-median-from-data-stream,True
295__find-median-from-data-stream,python2,new_transpiled_solutions/295__find-median-from-data-stream/cpp/find-median-from-data-stream_with_tests.py,0.0143256425857543,0.2341974,0.0185301,,find-median-from-data-stream,True
297__serialize-and-deserialize-binary-tree,cpp,new_transpiled_solutions/297__serialize-and-deserialize-binary-tree/cpp/serialize-and-deserialize-binary-tree_benchmark.cpp,0.0331310749053955,0.5759997,0.0325502,,serialize-and-deserialize-binary-tree,True
297__serialize-and-deserialize-binary-tree,python2,new_transpiled_solutions/297__serialize-and-deserialize-binary-tree/cpp/serialize-and-deserialize-binary-tree_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/297__serialize-and-deserialize-binary-tree/cpp/serialize-and-deserialize-binary-tree_with_tests.py']' returned non-zero exit status 1.",serialize-and-deserialize-binary-tree,True
301__remove-invalid-parentheses,cpp,new_transpiled_solutions/301__remove-invalid-parentheses/cpp/remove-invalid-parentheses_benchmark.cpp,0.007668662071228,0.0903012,0.0090575,,remove-invalid-parentheses,True
301__remove-invalid-parentheses,python2,new_transpiled_solutions/301__remove-invalid-parentheses/cpp/remove-invalid-parentheses_with_tests.py,0.1082727432250976,1.7639787,0.0629269,,remove-invalid-parentheses,True
30__substring-with-concatenation-of-all-words,cpp,new_transpiled_solutions/30__substring-with-concatenation-of-all-words/cpp/substring-with-concatenation-of-all-words_benchmark.cpp,0.0530183553695678,0.8836648,0.0428282,,substring-with-concatenation-of-all-words,True
30__substring-with-concatenation-of-all-words,python2,new_transpiled_solutions/30__substring-with-concatenation-of-all-words/cpp/substring-with-concatenation-of-all-words_with_tests.py,0.2916959285736084,4.5934637,0.1239073,,substring-with-concatenation-of-all-words,True
312__burst-balloons,cpp,new_transpiled_solutions/312__burst-balloons/cpp/burst-balloons_benchmark.cpp,0.0060625076293945,0.1029353,0.0079282,,burst-balloons,True
312__burst-balloons,python2,new_transpiled_solutions/312__burst-balloons/cpp/burst-balloons_with_tests.py,0.2395073413848877,3.8425746,0.1063047,,burst-balloons,True
315__count-of-smaller-numbers-after-self,cpp,new_transpiled_solutions/315__count-of-smaller-numbers-after-self/cpp/count-of-smaller-numbers-after-self_benchmark.cpp,0.0533778190612792,0.9118445,0.0425476,,count-of-smaller-numbers-after-self,True
315__count-of-smaller-numbers-after-self,python2,new_transpiled_solutions/315__count-of-smaller-numbers-after-self/cpp/count-of-smaller-numbers-after-self_with_tests.py,1.6873284101486206,26.8274338,0.5862166,,count-of-smaller-numbers-after-self,True
321__create-maximum-number,cpp,new_transpiled_solutions/321__create-maximum-number/cpp/create-maximum-number_benchmark.cpp,0.0083833932876586,0.1499752,0.0126648,,create-maximum-number,True
321__create-maximum-number,python2,new_transpiled_solutions/321__create-maximum-number/cpp/create-maximum-number_with_tests.py,0.1960958242416381,3.1017498,0.0962583,,create-maximum-number,True
327__count-of-range-sum,cpp,new_transpiled_solutions/327__count-of-range-sum/cpp/count-of-range-sum_benchmark.cpp,0.0672620773315429,1.1061434,0.0481016,,count-of-range-sum,True
327__count-of-range-sum,python2,new_transpiled_solutions/327__count-of-range-sum/cpp/count-of-range-sum_with_tests.py,2.4215469121932984,38.0715274,0.8120219,,count-of-range-sum,True
329__longest-increasing-path-in-a-matrix,cpp,new_transpiled_solutions/329__longest-increasing-path-in-a-matrix/cpp/longest-increasing-path-in-a-matrix_benchmark.cpp,0.0075583934783935,0.131793,0.010443,,longest-increasing-path-in-a-matrix,True
329__longest-increasing-path-in-a-matrix,python2,new_transpiled_solutions/329__longest-increasing-path-in-a-matrix/cpp/longest-increasing-path-in-a-matrix_with_tests.py,0.1755795240402221,2.868828,0.085034,,longest-increasing-path-in-a-matrix,True
32__longest-valid-parentheses,cpp,new_transpiled_solutions/32__longest-valid-parentheses/cpp/longest-valid-parentheses_benchmark.cpp,0.0034498929977416,0.0572812,0.0049011,,longest-valid-parentheses,True
32__longest-valid-parentheses,python2,new_transpiled_solutions/32__longest-valid-parentheses/cpp/longest-valid-parentheses_with_tests.py,0.1271699905395507,2.1412178,0.0765135,,longest-valid-parentheses,True
