frontend_id,id,title,title_slug,url,created_at_approx,difficulty,likes,dislikes,topic_tags,example_test_cases
679,679,24 Game,24-game,https://leetcode.com/problems/24-game/,2017-09-17,Hard,1515,256,Array;Math;Backtracking,"[4,1,8,7]\n[1,2,1,2]"
2117,2222,Abbreviating the Product of a Range,abbreviating-the-product-of-a-range,https://leetcode.com/problems/abbreviating-the-product-of-a-range/,2021-12-25,Hard,90,160,Math,1\n4\n2\n11\n371\n375
2508,2596,Add Edges to Make Degrees of All Nodes Even,add-edges-to-make-degrees-of-all-nodes-even,https://leetcode.com/problems/add-edges-to-make-degrees-of-all-nodes-even/,2022-12-18,Hard,348,57,Hash Table;Graph,"5\n[[1,2],[2,3],[3,4],[4,2],[1,4],[2,5]]\n4\n[[1,2],[3,4]]\n4\n[[1,2],[1,3],[1,4]]"
269,269,Alien Dictionary,alien-dictionary,https://leetcode.com/problems/alien-dictionary/,2015-08-25,Hard,4604,1026,Array;String;Depth-First Search;Breadth-First Search;Graph;Topological Sort,"[""wrt"",""wrf"",""er"",""ett"",""rftt""]\n[""z"",""x""]\n[""z"",""x"",""z""]"
432,432,All O`one Data Structure,all-oone-data-structure,https://leetcode.com/problems/all-oone-data-structure/,2016-10-17,Hard,2137,216,Hash Table;Linked List;Design;Doubly-Linked List,"[""AllOne"",""inc"",""inc"",""getMaxKey"",""getMinKey"",""inc"",""getMaxKey"",""getMinKey""]\n[[],[""hello""],[""hello""],[],[],[""leet""],[],[]]"
1478,1571,Allocate Mailboxes,allocate-mailboxes,https://leetcode.com/problems/allocate-mailboxes/,2020-06-13,Hard,1152,23,Array;Math;Dynamic Programming;Sorting,"[1,4,8,10,20]\n3\n[2,3,5,12,18]\n2"
3245,3527,Alternating Groups III,alternating-groups-iii,https://leetcode.com/problems/alternating-groups-iii/,2024-08-04,Hard,58,9,Array;Binary Indexed Tree,"[0,1,1,0,1]\n[[2,1,0],[1,4]]\n[0,0,1,0,1,1]\n[[1,3],[2,3,0],[1,5]]"
2158,2297,Amount of New Area Painted Each Day,amount-of-new-area-painted-each-day,https://leetcode.com/problems/amount-of-new-area-painted-each-day/,2022-02-02,Hard,436,44,Array;Segment Tree;Ordered Set,"[[1,4],[4,7],[5,8]]\n[[1,4],[5,8],[4,7]]\n[[1,5],[2,4]]"
2897,3153,Apply Operations on Array to Maximize Sum of Squares,apply-operations-on-array-to-maximize-sum-of-squares,https://leetcode.com/problems/apply-operations-on-array-to-maximize-sum-of-squares/,2023-10-08,Hard,192,4,Array;Hash Table;Greedy;Bit Manipulation,"[2,6,5,8]\n2\n[4,5,4,7]\n3"
2968,3196,Apply Operations to Maximize Frequency Score,apply-operations-to-maximize-frequency-score,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score/,2023-12-17,Hard,280,7,Array;Binary Search;Sliding Window;Sorting;Prefix Sum,"[1,2,6,4]\n3\n[1,4,4,2,4]\n0"
2818,3001,Apply Operations to Maximize Score,apply-operations-to-maximize-score,https://leetcode.com/problems/apply-operations-to-maximize-score/,2023-08-13,Hard,759,126,Array;Math;Stack;Greedy;Sorting;Monotonic Stack;Number Theory,"[8,3,9,3,8]\n2\n[19,12,14,6,10,18]\n3"
446,446,Arithmetic Slices II - Subsequence,arithmetic-slices-ii-subsequence,https://leetcode.com/problems/arithmetic-slices-ii-subsequence/,2016-11-06,Hard,3432,161,Array;Dynamic Programming,"[2,4,6,8,10]\n[7,7,7,7,7]"
