problem,cpp_checksum,python2_checksum,match,error
check-if-dfs-strings-are-palindromes,41,41,True,
check-if-digits-are-equal-in-string-after-operations-ii,4,4,True,
concatenated-divisibility,13569,13569,True,
count-beautiful-numbers,652753,652753,True,
count-connected-components-in-lcm-graph,17,17,True,
count-k-reducible-numbers-less-than-n,32408561,32408561,True,
count-non-decreasing-subarrays-after-k-operations,153,153,True,
count-number-of-balanced-permutations,57620,57620,True,
count-numbers-with-non-decreasing-digits,2110842,1002110835,False,
count-substrings-divisible-by-last-digit,319,319,True,
count-the-number-of-arrays-with-k-matching-adjacent-elements,170988320,170988320,True,
count-the-number-of-winning-sequences,794993495,794993495,True,
equal-sum-grid-partition-ii,8,8,True,
find-sum-of-array-product-of-magical-sequences,534111679,534111679,True,
find-the-maximum-number-of-fruits-collected,678,,,"Command '['python2', 'newv2_matched_kamyu_after copy/find-the-maximum-number-of-fruits-collected/find-the-maximum-number-of-fruits-collected_benchmark_v2.py']' returned non-zero exit status 1."
find-the-number-of-possible-ways-for-an-event,-1749825677,2545141619,False,
find-the-number-of-subsequences-with-equal-gcd,6820,6820,True,
find-the-original-typed-string-ii,1031,1031,True,
find-weighted-median-node-in-tree,71,114,False,
find-x-sum-of-all-k-long-subarrays-ii,-1294967309,,,"Command '['python2', 'newv2_matched_kamyu_after copy/find-x-sum-of-all-k-long-subarrays-ii/find-x-sum-of-all-k-long-subarrays-ii_benchmark_v2.py']' returned non-zero exit status 1."
find-x-value-of-array-ii,72,72,True,
frequencies-of-shortest-supersequences,62,62,True,
length-of-longest-v-shaped-diagonal-segment,13,13,True,
lexicographically-smallest-generated-string,1650,1650,True,
longest-common-prefix-of-k-strings-after-removal,138,138,True,
longest-palindrome-after-substring-concatenation-ii,111,111,True,
longest-palindromic-path-in-graph,44,44,True,
longest-special-path,11166,11166,True,
longest-special-path-ii,294,281,False,
manhattan-distances-of-all-arrangements-of-pieces,574554623,574554623,True,
maximize-active-section-with-trade-ii,360,360,True,
maximize-spanning-tree-stability-with-upgrades,71,71,True,
maximize-subarray-gcd-score,200406,200406,True,
maximize-subarray-sum-after-removing-all-occurrences-of-one-element,6114,6114,True,
maximize-the-distance-between-points-on-a-square,862,862,True,
maximize-the-number-of-target-nodes-after-connecting-trees-ii,910,910,True,
maximum-frequency-of-an-element-after-performing-operations-ii,31,31,True,
maximum-good-subtree-score,1111149386,1111149386,True,
maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k,100,100,True,
maximum-profit-from-trading-stocks-with-discounts,15,64,False,
maximum-profit-from-valid-topological-order-in-dag,884,732,False,
maximum-sum-of-edge-values-in-a-graph,474,474,True,
merge-operations-for-minimum-travel-time,375,375,True,
minimum-cost-good-caption,1047,1047,True,
minimum-cost-path-with-teleportations,21,21,True,
minimum-cost-to-divide-array-into-subarrays,636391,636391,True,
minimum-increments-for-target-multiples-in-an-array,29,29,True,
minimum-moves-to-reach-target-in-grid,56,56,True,
minimum-operations-to-make-array-elements-zero,4827462,4827462,True,
minimum-operations-to-make-character-frequencies-equal,0,3,False,
minimum-operations-to-make-elements-within-k-subarrays-equal,258,,,"Command '['python2', 'newv2_matched_kamyu_after copy/minimum-operations-to-make-elements-within-k-subarrays-equal/minimum-operations-to-make-elements-within-k-subarrays-equal_benchmark_v2.py']' returned non-zero exit status 1."
minimum-stability-factor-of-array,35,35,True,
minimum-time-to-transport-all-individuals,170,170,True,
next-special-palindrome-number,482450165,482450165,True,
number-of-integers-with-popcount-depth-equal-to-k-i,553822,553822,True,
number-of-integers-with-popcount-depth-equal-to-k-ii,93,93,True,
number-of-ways-to-assign-edge-weights-ii,10483,10483,True,
path-existence-queries-in-a-graph-ii,69,69,True,
separate-squares-ii,600000022,600000022,True,
shortest-matching-substring,114,114,True,
shortest-path-in-a-weighted-tree,6803,6803,True,
smallest-substring-with-identical-characters-i,21,21,True,
smallest-substring-with-identical-characters-ii,18,18,True,
sorted-gcd-pair-queries,142,142,True,
subsequences-with-a-unique-middle-mode-i,2501895,2501895,True,
subtree-inversion-sum,7169,7169,True,
sum-of-beautiful-subsequences,33633475,33633475,True,
threshold-majority-queries,64,,,"Command '['python2', 'newv2_matched_kamyu_after copy/threshold-majority-queries/threshold-majority-queries_benchmark_v2.py']' returned non-zero exit status 1."
total-characters-in-string-after-transformations-ii,,,,"Command '['g++', '-O2', 'newv2_CPP_CLEANED_AFTER copy/total-characters-in-string-after-transformations-ii/total-characters-in-string-after-transformations-ii_solution_benchmark_v2.cpp', '-o', 'newv2_CPP_CLEANED_AFTER copy/total-characters-in-string-after-transformations-ii/total-characters-in-string-after-transformations-ii_solution_benchmark_v2']' returned non-zero exit status 1."
xor-after-range-multiplication-queries-ii,1742466,1742466,True,
