problem,avg_duration_sec_cpp,avg_duration_sec_python,total_joules_cpp,total_joules_python,energy_gain_pct,runtime_gain_pct
smallest-good-base,0.0818830251693725,0.2003816127777099,0.7997844,3.1882304,74.91447293144185,59.13645766480175
count-the-number-of-winning-sequences,0.9982275485992432,5.194854426383972,14.1762578,86.6193279,83.63383999427222,80.78430179815282
best-time-to-buy-and-sell-stock-iv,0.0319602727890014,0.1852513790130615,0.346514,2.7333974000000003,87.32295567413651,82.74761949990776
count-beautiful-numbers,5.86373736858368,42.6675562620163,86.1725208,759.6334128999999,88.65603864487409,86.25715207926328
maximize-the-number-of-target-nodes-after-connecting-trees-ii,0.029329776763916,0.2496277570724487,0.4594042,4.0732986,88.72156831320936,88.25059476242312
frog-jump,0.0206210851669311,0.152701473236084,0.2246453,2.2709902,90.10804626105387,86.49581780062469
shortest-palindrome,0.008700156211853,0.1389716863632202,0.16598500000000002,1.9197950000000001,91.3540247786873,93.73961960200006
reconstruct-itinerary,0.0184863805770874,0.1658196449279785,0.2119804999999999,2.452557,91.35675541893626,88.85151359169976
sliding-puzzle,0.62020902633667,6.950860953330993,9.2026498,117.8628814,92.1920712520439,91.07723445338878
concatenated-words,0.0416999340057373,0.3689067125320434,0.45411270000000004,5.9861356,92.41392560502638,88.69634718232045
word-ladder,0.0689896345138549,0.6415628910064697,0.7421793999999999,10.132890399999999,92.67554102825389,89.24662952284764
valid-number,0.0098727226257324,0.129552412033081,0.1289727,1.7615802,92.67857915296732,92.37936023668057
maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k,0.02144136428833,0.1994274377822876,0.2740167,3.7445950000000003,92.68234081389309,89.24853845249856
find-the-closest-palindrome,0.0183349847793579,0.1911328315734863,0.2094355999999999,2.8997788,92.77753185863695,90.40720287120922
substring-with-concatenation-of-all-words,0.0190194606781005,0.1830570459365844,0.1947323,2.7387624,92.88977021153788,89.61009089773614
maximum-good-subtree-score,0.013293433189392,0.1311895132064819,0.15592,2.2050665,92.92901143797704,89.86700014011852
arithmetic-slices-ii-subsequence,0.0188269853591918,0.1998912572860717,0.2129509,3.0651653,93.05254760648634,90.58138629232401
maximum-sum-of-edge-values-in-a-graph,0.0115984439849853,0.1623272895812988,0.1924678,2.7870171,93.09412920358471,92.85490196078435
longest-palindromic-path-in-graph,1.2111291885375977,17.36003475189209,19.047033499999998,294.78909519999996,93.5387591297848,93.02346334067335
word-break-ii,0.0277669429779052,0.3403630256652832,0.3360708,5.2388783,93.5850619015143,91.84196258579169
stamping-the-sequence,0.0186529636383056,0.2175874471664428,0.2042719,3.3150306,93.83800861446045,91.42737144021132
k-similar-strings,0.0209181308746337,0.2438410282135009,0.2288142,3.8766932,94.09769645944642,91.42140638600067
making-a-large-island,0.0197242498397827,0.3101160287857055,0.2793084,4.8280333,94.21486177404785,93.63971932795113
parse-lisp-expression,0.016333794593811,0.2175474405288696,0.1890196,3.3493627,94.35655027746024,92.49184704076376
concatenated-divisibility,0.2098667860031128,3.149527835845947,2.9590746,52.6011044,94.37450100382303,93.33656354407982
falling-squares,0.0091275215148925,0.1499828815460205,0.1153623,2.1048223999999998,94.51914327783665,93.91429113722434
erect-the-fence,0.0189176559448242,0.2474774360656738,0.2120842,3.946633,94.6261990917321,92.35580574715347
reachable-nodes-in-subdivided-graph,0.0146238565444946,0.2035975933074951,0.16832819999999998,3.1716777,94.69277095841106,92.8172743562798
shortest-path-to-get-all-keys,0.0395102739334106,0.5442110300064087,0.4570487,8.7577475,94.7812071540085,92.73989835653546
find-sum-of-array-product-of-magical-sequences,0.0415737152099609,0.753439998626709,0.6179610999999999,12.3501207,94.9963152991695,94.48214651654582
contain-virus,0.05898277759552,0.7595369100570679,0.6245832,12.4832079,94.99661301002605,92.23437639244045
valid-permutations-for-di-sequence,0.0065670490264892,0.1380916357040405,0.1038385,2.1022468,95.06059421757712,95.24442664973296
cut-off-trees-for-golf-event,0.0281144142150878,0.4306978940963745,0.3324821,6.9126959,95.19026867650868,93.47235856026805
frequencies-of-shortest-supersequences,0.0491172552108764,0.9309732913970948,0.7303326,15.4694857,95.27888247765081,94.72409620504074
the-skyline-problem,0.0097740888595581,0.1692497968673706,0.11849950000000001,2.6325677,95.49871025159202,94.22505134985929
equal-sum-grid-partition-ii,0.0105797052383422,0.1638905048370361,0.11970789999999999,2.6960441,95.55986862381071,93.54465028412592
binary-tree-maximum-path-sum,0.011170744895935,0.2034209012985229,0.1338437,3.0533675,95.61652175835368,94.50855599172586
perfect-rectangle,0.0090168476104736,0.1859692096710205,0.12028749999999999,2.8007682,95.70519616725154,95.15142983807674
find-x-value-of-array-ii,0.0305223703384399,0.6124696969985962,0.410558,9.9604359,95.87811212157894,95.01650930845811
find-minimum-in-rotated-sorted-array-ii,0.003707218170166,0.1123557329177856,0.0635742,1.5506002,95.90002632529004,96.70046372010344
remove-invalid-parentheses,0.0081135511398315,0.1791842460632324,0.1056637,2.60263,95.9401182649858,95.4719506217258
largest-palindrome-product,0.0285984754562377,0.4875145435333252,0.30960010000000004,7.7315659000000005,95.99563524382557,94.1338210653232
freedom-trail,0.0216898918151855,0.3719613552093506,0.2398555,6.0680998,96.04727166814232,94.16877815089748
sum-of-distances-in-tree,0.0093479394912719,0.1886705160140991,0.11070540000000001,2.8171802,96.07034722166512,95.04536284271711
